Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
31356-past12_recommended-3,"In the last 12 months, participant has: Practiced meditation","Which of the following, if any, have you done in the last 12 months? Practiced meditation",Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31356-past12_recommended-4,"In the last 12 months, participant has: Followed my doctor's recommendations on health screenings (such as mammograms, blood pressure, colonoscopies, etc.)","Which of the following, if any, have you done in the last 12 months? Followed my doctor's recommendations on health screenings (such as mammograms, blood pressure, colonoscopies, etc.)",Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31356-past12_recommended-998,"In the last 12 months, participant has: None of the above","Which of the following, if any, have you done in the last 12 months? None of the above",Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31356-past12_recommended-999,"In the last 12 months, participant has: Prefer not to answer","Which of the following, if any, have you done in the last 12 months? Prefer not to answer",Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31357-follow_doctor,Likeliness to tell disagreement to doctor,"If you don't agree with something your doctor says to you, how likely are you to tell your doctor that you disagree with him or her?",Follow-up Survey,Categorical,"1, Not at all; 2, Slightly likely; 3, Moderately likely; 4, Very likely; 5, Extremely likely; 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31358-trust_measures_family,Trust measures - family,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your close family members",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31359-trust_measures_physician,Trust measures - physician,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your physician",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31360-trust_measures_pharmacy,Trust measures - pharmacy,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your pharmacy",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31361-trust_measures_insurance,Trust measures - insurance,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

Your health insurance company",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31362-trust_measures_research,Trust measures - research,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

A research institution",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31363-trust_measures_govt,Trust measures - government,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

A government organization",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31364-trust_measures_tech,Trust measures - technology,"Please indicate how likely you would be willing to share your health information with the following individuals or organizations, assuming the information would be kept confidential. Your health information could include your medical records, test results, prescription drug history, genetic information, and physical activity data.

A technology company",Follow-up Survey,Categorical,"1, Very likely| 2, Somewhat likely| 3, Neither likely nor unlikely| 4, Somewhat unlikely| 5, Very unlikely| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36096-Post_covidvaccine,Vaccination status (COVID),Did you receive the COVID-19 vaccine?,Follow-up Survey,Categorical,"1, Yes; 2, No; 4, Not sure, I participated in a COVID-19 vaccination trial; 3, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36097-Post_vaccinelikely,Vaccination Likeliness to Receive (COVID),"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?",Follow-up Survey,Categorical,"14, Very likely; 15, Likely ; 16,  I do not know yet; 17, Unlikely ; 18, Very unlikely",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-1,Factors that might make participant less likely to get the vaccine selected; I will not get/am never sick,What factors might make you less likely to get the vaccine? I will not get/am never sick,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-2,Factors that might make participant less likely to get the vaccine selected; It's just a virus/not fatal/not necessary,What factors might make you less likely to get the vaccine? It's just a virus/not fatal/not necessary,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-3,Factors that might make participant less likely to get the vaccine selected; I never get vaccinated,What factors might make you less likely to get the vaccine? I never get vaccinated,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-4,Factors that might make participant less likely to get the vaccine selected; I do not trust the vaccine,What factors might make you less likely to get the vaccine? I do not trust the vaccine,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-5,Factors that might make participant less likely to get the vaccine selected; I do not want to pay for it,What factors might make you less likely to get the vaccine? I do not want to pay for it,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-6,Factors that might make participant less likely to get the vaccine selected; Vaccination location is not convenient,What factors might make you less likely to get the vaccine? Vaccination location is not convenient,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-7,Factors that might make participant less likely to get the vaccine selected; Difficult in making an appointment,What factors might make you less likely to get the vaccine? Difficult in making an appointment,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,What factors might make you less likely to get the vaccine? It depends on the risk/adverse events,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-9,Factors that might make participant less likely to get the vaccine selected; I have not thought about it yet,What factors might make you less likely to get the vaccine? I have not thought about it yet,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,What factors might make you less likely to get the vaccine? I am not in the risk group with underlying conditions,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-11,Factors that might make participant less likely to get the vaccine selected; I need more information first,What factors might make you less likely to get the vaccine? I need more information first,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-12,Factors that might make participant less likely to get the vaccine selected; I have already had COVID-19,What factors might make you less likely to get the vaccine? I have already had COVID-19,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),What factors might make you less likely to get the vaccine? I am going to let others get it first (herd immunity),Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-14,Factors that might make participant less likely to get the vaccine selected; I have had severe allergic reactions to vaccines in the past,What factors might make you less likely to get the vaccine? I have had severe allergic reactions to vaccines in the past,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-15,Factors that might make participant less likely to get the vaccine selected; I am concerned that it will not interact with other medications/treatments that I am currently taking,What factors might make you less likely to get the vaccine? I am concerned that it will not interact with other medications/treatments that I am currently taking,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-16,"Factors that might make participant less likely to get the vaccine selected; I am currently pregnant, planning a pregnancy, or breastfeeding","What factors might make you less likely to get the vaccine? I am currently pregnant, planning a pregnancy, or breastfeeding",Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,What factors might make you less likely to get the vaccine? Do not know yet,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-18,Factors that might make participant less likely to get the vaccine selected; Other,What factors might make you less likely to get the vaccine? Other,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36104-Post_vaccinefactors-19,Factors that might make participant less likely to get the vaccine selected; Prefer not to answer,What factors might make you less likely to get the vaccine? Prefer not to answer,Follow-up Survey,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Not available at home,False,Excluded due to timing/form: Follow-up Survey
36105-Post_vaccineother,Other factors that the participant indicates would make them less likely to receive the vaccine,"Other factors, please specify:",Follow-up Survey,Text,,Not available at home,False,Excluded due to timing/form: Follow-up Survey
31365-covid_easeofuse_instructions,COVID Test Kit - Ease of Use - Instructions,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Following the kit instructions",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31366-covid_easeofuse_opening,COVID Test Kit - Ease of Use - Opening Kit,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Opening the tube",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31367-covid_easeofuse_settingup,COVID Test Kit - Ease of Use - Setting up Kit,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Setting up the tube",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31368-covid_easeofuse_sample,COVID Test Kit - Ease of Use - Collecting nasal sample,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Collecting a nasal sample with the swab",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31369-covid_easeofuse_swab,COVID Test Kit - Ease of Use - Placing swab in tube,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Putting the swab in the tube",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31370-covid_easeofuse_strip,COVID Test Kit - Ease of Use - Using the test strip,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Opening/using the test strip",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
31371-covid_easeofuse_supplies,COVID Test Kit - Ease of Use - Keeping track of kit contents,"Can you tell us how easy or difficult it was to use the at-home COVID test kit as part of this study?

Keeping track of all the supplies",Follow-up Survey,Categorical,"1, Extremely easy| 2, Somewhat easy| 3, Neither easy nor difficult| 4, Somewhat difficult| 5, Extremely difficult| 6, Did not do / Not applicable| 999, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Follow-up Survey
