Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
29889-Kit_date_DEID,Number of days from day of Consent when Participant received the at-home test kits,Please confirm the date you received the test kit.,I Received My Testing Kit,Integer,De-identified Value in Days,Not available at home,False,Excluded due to timing/form: I Received My Testing Kit
About You Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""About You""",,Unknown,Integer,De-identified Value in Days,Uncertain,False,Collection timing/form not identified
30681-Gender_specify,Other Gender Details,"Other Gender, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
32144-DOB_pnta,Participant declines to share Date of Birth,Select this if you are not willing to share your date of birth:,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
33470-_DOB_Validation,"System generated variable, not required",,About You,Text,,Available at home,False,Free text excluded from structured model
30072-Household,Participant housing/living conditions,How would you describe your current household/living arrangements?,About You,Categorical,"1, House or single family home; 9, Townhome or Duplex; 2, High-rise apartment/condo building (Your front door is not exposed to the outside); 3, Garden-style apartment/condo (Your front door is exposed to the outside); 4, Nursing home or assisted living facility; 5, Mobile home; 6, Group home or rehab facility; 11, Military Base; 10, Homeless or Transient; 7, Other; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30426-housetype_specify,Other House Type Details,"Other House Type, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
30075-Other_household,Total number of other people living in participant's home,"How many people, other than you, live in the same household with you?

Please enter the number below.",About You,Categorical,"1, Just Myself; 2, 1; 3, 2; 4, 3; 5, 4; 6, Other (5 or more); 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30428-housecount_specify,Number of people other that the participant that live in the home:,Please provide the number of people other than you that live in the household:,About You,Integer,Number of people,Available at home,True,Structured pre-visit variable from About You
30429-DOB_Age_DEID,Age of participant,What is your date of birth?,About You,Integer,Age in years; de-identification per RADx guideline,Not available at home,False,Administrative/date/identifier field
30081-general_health,General Health Response,How would you rate your general health?,About You,Categorical,"1, Excellent; 2, Very good; 3, Good; 4, Fair; 5, Poor; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30082-Race-1,Race selected; White,What is your race? White,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-2,Race selected; Black or African American,What is your race? Black or African American,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-3,Race selected; Asian,What is your race? Asian,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-4,Race selected; American Indian or Alaska Native,What is your race? American Indian or Alaska Native,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-5,Race selected; Native Hawaiian or Other Pacific Islander,What is your race? Native Hawaiian or Other Pacific Islander,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-6,Race selected; Other,What is your race? Other,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-998,Race selected; None of the above,What is your race? None of the above,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30082-Race-999,Race selected; Prefer not to answer,What is your race? Prefer not to answer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30680-race_specify,Other Race Details,"Other race, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
30085-Ethnicity,Ethnicity,What is your ethnicity?,About You,Categorical,"1, Hispanic or Latino; 2, Non-Hispanic or Latino; 3, Unknown; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30086-Gender-1,Gender identity selected; Man,What terms best express how you describe your gender identity? Man,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30086-Gender-2,Gender identity selected; Woman,What terms best express how you describe your gender identity? Woman,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30086-Gender-3,Gender identity selected; Non-Binary,What terms best express how you describe your gender identity? Non-Binary,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30086-Gender-5,Gender identity selected; Transgender,What terms best express how you describe your gender identity? Transgender,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30086-Gender-999,Gender identity selected; Prefer not to answer,What terms best express how you describe your gender identity? Prefer not to answer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32726-Gender_more-1,Closer description of gender identity selected; Trans man/Transgender Man/FTM,Are any of these a closer description to your gender identity? Trans man/Transgender Man/FTM,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32726-Gender_more-3,Closer description of gender identity selected; Genderqueer,Are any of these a closer description to your gender identity? Genderqueer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32726-Gender_more-4,Closer description of gender identity selected; Genderfluid,Are any of these a closer description to your gender identity? Genderfluid,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32726-Gender_more-7,Closer description of gender identity selected; Questioning or unsure of your gender identity,Are any of these a closer description to your gender identity? Questioning or unsure of your gender identity,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32726-Gender_more-999,Closer description of gender identity selected; Prefer not to answer,Are any of these a closer description to your gender identity? Prefer not to answer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32727-Gender_specify,Other Gender Details,"Other Gender, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
30090-Birthsex,Sex at Birth,What was your biological sex assigned at birth?,About You,Categorical,"1, Female; 2, Male; 7, Other; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30091-Education,Education Reached,What is the highest grade or year of school you completed?,About You,Categorical,"1, Never attended school or only attended kindergarten; 2, Grades 1 through 4 (Primary); 3, Grades 5 through 8 (Middle school); 4, Grades 9 through 11 (Some high school); 5, Grade 12 or GED (High school graduate); 6, 1 to 3 years after high school (Some college, Associate's degree, or technical school); 7, College 4 years or more (College graduate); 8, Advanced degree (Master's, Doctorate, etc.); 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
32135-annual_income,Income level,What is your annual household income from all sources?,About You,Categorical,"1, Less than $10,000; 2, $10,000 - $24,999; 3, $25,000 - $34,999; 4, $40,000 - $49,999; 5, $50,000 - $74,999; 6, $75,000 - $99,999; 7, $100,000 - $149,999; 8, $150,000 - $199,999; 9, $200,000 or more; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30712-Height_Feet,Participants height - feet only (used in conjunction with inches),What is you current height? (enter feet and inches separately),About You,Integer,Height in Feet,Available at home,True,Structured pre-visit variable from About You
30713-Height_Inches,Participants height - inches only (used in conjunction with feet),What is you current height? (enter feet and inches separately),About You,Integer,Height in Inches,Available at home,True,Structured pre-visit variable from About You
